               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.03062,            0.025688,          0.00084398,             0.81533,             0.80088,             0.75666,             0.35598,             0.03878,            0.030446,          0.00060677,           0.0043809,           0.0043809,           0.0043809
                  60,            0.029761,            0.024818,          0.00078655,             0.78309,             0.76877,             0.71733,             0.32884,            0.040201,            0.032493,          0.00064856,           0.0042445,           0.0042445,           0.0042445
                  61,            0.029606,            0.024835,          0.00076554,             0.78858,             0.80099,             0.74366,             0.34297,            0.040677,            0.032122,          0.00064933,           0.0041094,           0.0041094,           0.0041094
                  62,            0.029173,            0.023208,          0.00080062,             0.79607,             0.80242,             0.76409,             0.34838,            0.039616,            0.031027,          0.00072157,           0.0039757,           0.0039757,           0.0039757
                  63,            0.029109,            0.023116,          0.00089733,             0.79354,             0.77358,             0.74048,              0.3393,            0.041097,            0.033115,          0.00065558,           0.0038434,           0.0038434,           0.0038434
                  64,            0.028766,            0.025575,          0.00059871,             0.80628,             0.77352,             0.75267,              0.3378,            0.040699,            0.032229,          0.00060596,           0.0037128,           0.0037128,           0.0037128
                  65,            0.029348,            0.024092,          0.00080223,             0.79732,             0.78845,             0.76147,             0.35686,            0.038847,            0.030054,          0.00057282,            0.003584,            0.003584,            0.003584
                  66,            0.029191,            0.025118,          0.00098313,               0.779,             0.77945,             0.72952,              0.3351,            0.041494,            0.033976,            0.000682,            0.003457,            0.003457,            0.003457
                  67,            0.028603,            0.024617,          0.00075242,             0.80913,             0.78825,             0.75333,             0.35548,            0.039533,            0.030341,          0.00072761,           0.0033321,           0.0033321,           0.0033321
                  68,            0.028987,            0.026179,          0.00073474,             0.79765,             0.78629,             0.74127,             0.32625,            0.040887,            0.033505,          0.00076354,           0.0032093,           0.0032093,           0.0032093
                  69,            0.028238,            0.022442,           0.0008384,             0.77941,             0.77048,             0.72816,             0.32963,            0.040923,            0.032998,          0.00071997,           0.0030888,           0.0030888,           0.0030888
                  70,            0.028996,            0.024435,           0.0008089,             0.81442,             0.79755,             0.76181,             0.35816,            0.039317,            0.031376,          0.00063663,           0.0029706,           0.0029706,           0.0029706
                  71,            0.028233,               0.025,          0.00074346,             0.81483,             0.79657,             0.76876,             0.35567,            0.039171,            0.030428,          0.00063158,            0.002855,            0.002855,            0.002855
                  72,            0.028039,            0.023654,          0.00074753,             0.77187,             0.75444,             0.71995,             0.32575,            0.041517,            0.033547,          0.00058069,           0.0027419,           0.0027419,           0.0027419
                  73,            0.027501,            0.024156,          0.00088347,             0.77526,             0.77501,             0.72525,             0.33262,             0.04144,            0.034666,          0.00077985,           0.0026316,           0.0026316,           0.0026316
                  74,            0.028403,            0.024037,          0.00065432,             0.76791,             0.75843,              0.7057,             0.32236,            0.041642,            0.034843,           0.0006128,           0.0025241,           0.0025241,           0.0025241
                  75,            0.027115,            0.023289,          0.00079085,             0.81118,             0.77701,             0.74762,             0.34275,            0.040138,            0.031647,          0.00061702,           0.0024195,           0.0024195,           0.0024195
                  76,             0.02782,            0.024567,          0.00080763,             0.79908,             0.75785,             0.72306,             0.34044,             0.04096,            0.033707,          0.00060683,            0.002318,            0.002318,            0.002318
                  77,            0.028038,            0.023135,          0.00077485,             0.80159,             0.76622,             0.73359,             0.34673,            0.039971,            0.033049,          0.00060977,           0.0022196,           0.0022196,           0.0022196
                  78,            0.027714,             0.02336,          0.00068721,             0.77251,             0.75462,             0.70331,              0.3236,            0.041422,            0.033764,          0.00067204,           0.0021245,           0.0021245,           0.0021245
                  79,            0.027738,            0.024081,          0.00070312,             0.76531,             0.77057,             0.70971,             0.31764,             0.04255,            0.035341,          0.00069341,           0.0020327,           0.0020327,           0.0020327
                  80,            0.027681,            0.024149,          0.00049198,             0.76961,             0.73986,             0.69611,             0.32467,            0.042223,            0.035343,          0.00062477,           0.0019443,           0.0019443,           0.0019443
                  81,            0.026632,            0.023834,           0.0006255,             0.75994,              0.7291,             0.68282,             0.31408,            0.042644,            0.035372,          0.00065716,           0.0018594,           0.0018594,           0.0018594
                  82,            0.027297,            0.025172,          0.00057073,             0.80323,             0.77406,             0.74485,             0.33275,            0.040698,            0.033754,          0.00065684,           0.0017781,           0.0017781,           0.0017781
                  83,            0.026845,            0.023361,          0.00071776,             0.79012,             0.80531,             0.76212,             0.36081,             0.03911,            0.030815,          0.00065015,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02697,            0.023649,           0.0006606,             0.76257,             0.76426,             0.71527,             0.33466,            0.041146,            0.033251,           0.0006484,           0.0016267,           0.0016267,           0.0016267
                  85,            0.026974,             0.02302,          0.00045076,             0.78046,             0.78239,             0.73387,             0.34265,            0.039885,            0.032899,          0.00062235,           0.0015566,           0.0015566,           0.0015566
                  86,            0.026449,            0.022848,          0.00066109,             0.76278,             0.77258,              0.7165,             0.34238,            0.040251,            0.032925,          0.00063432,           0.0014905,           0.0014905,           0.0014905
                  87,            0.026669,            0.021919,          0.00051133,             0.77446,             0.78145,             0.72857,             0.33037,            0.040851,            0.033395,          0.00069618,           0.0014283,           0.0014283,           0.0014283
                  88,            0.026698,            0.023264,          0.00045002,             0.77292,             0.76692,             0.71371,             0.33318,            0.040756,            0.034099,          0.00072965,           0.0013701,           0.0013701,           0.0013701
                  89,            0.026194,            0.022458,           0.0006822,             0.78115,             0.77897,             0.73209,             0.33175,            0.041069,            0.034153,          0.00069041,            0.001316,            0.001316,            0.001316
                  90,            0.026108,            0.021278,           0.0005778,             0.77979,             0.78191,             0.72829,             0.33602,            0.040903,            0.033754,           0.0007432,            0.001266,            0.001266,            0.001266
                  91,            0.026243,            0.022705,          0.00049184,             0.75084,             0.77013,             0.69972,             0.32553,            0.041962,            0.035916,          0.00073367,           0.0012202,           0.0012202,           0.0012202
                  92,            0.026486,            0.023322,          0.00051174,             0.78472,             0.77995,             0.73367,             0.33307,             0.04096,            0.034371,          0.00066817,           0.0011787,           0.0011787,           0.0011787
                  93,              0.0266,            0.024107,          0.00067517,             0.79324,             0.77034,             0.73806,             0.34088,            0.040507,            0.033516,          0.00070411,           0.0011414,           0.0011414,           0.0011414
                  94,            0.026368,            0.022597,           0.0005747,             0.78435,              0.7814,             0.73496,             0.34354,            0.040008,            0.033118,          0.00072041,           0.0011084,           0.0011084,           0.0011084
                  95,            0.026598,             0.02253,          0.00051736,             0.78687,             0.77345,             0.73275,             0.33953,            0.040708,            0.033895,          0.00066267,           0.0010797,           0.0010797,           0.0010797
                  96,             0.02608,            0.023094,          0.00070619,             0.77975,             0.76729,             0.72329,             0.33559,            0.040756,             0.03344,          0.00067449,           0.0010554,           0.0010554,           0.0010554
                  97,             0.02591,            0.023065,          0.00050578,             0.78077,             0.77502,             0.73314,             0.34705,            0.039965,            0.032922,          0.00065159,           0.0010355,           0.0010355,           0.0010355
                  98,            0.026161,             0.02338,          0.00054468,              0.7715,             0.76501,             0.71684,             0.33215,            0.040984,            0.034887,          0.00069037,             0.00102,             0.00102,             0.00102
                  99,            0.025923,            0.022822,          0.00047399,             0.78255,             0.77938,             0.72845,             0.33364,            0.040851,            0.034603,          0.00067632,           0.0010089,           0.0010089,           0.0010089
